tDocumento;tItem;tCodigoPedido;tCodigoProducto;nPrecioNeto;nPrecioImpuesto1;nPrecioImpuesto2;nPrecioImpuesto3;nPrecioVenta;nPrecioOficial;nRecargo;nDescuento;nCantidad;nImpuesto1;nImpuesto2;nImpuesto3;nVenta;tGuia;nDescuentoNeto;nLey1;tAplicaExoneracion;tAplicaInafectacion;tDocumentoAnticipo
T00014000000250;2;1800022413;223;8,196721311;1,475409836;0,327868852;0;10;10;0;0;1;1,475409836;0,327868852;0;10;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000250;1;1800022413;212;9,836065574;1,770491803;0,393442623;0;12;12;0;0;1;1,770491803;0,393442623;0;12;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000249;6;1800022426;142;4,918032787;0,885245902;0,196721311;0;6;6;0;0;1;0,885245902;0,196721311;0;6;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000249;5;1800022426;95;9,836065574;1,770491803;0,393442623;0;12;12;0;0;1;1,770491803;0,393442623;0;12;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000249;4;1800022426;198;8,196721311;1,475409836;0,327868852;0;10;10;0;0;1;1,475409836;0,327868852;0;10;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000249;3;1800022426;100;8,196721311;1,475409836;0,327868852;0;10;10;0;0;1;1,475409836;0,327868852;0;10;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000249;2;1800022426;232;9,836065574;1,770491803;0,393442623;0;12;12;0;0;1;1,770491803;0,393442623;0;12;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000249;1;1800022426;318;9,836065574;1,770491803;0,393442623;0;12;12;0;0;2;3,540983607;0,786885246;0;24;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000248;2;1800022393;265;6,557377049;1,180327869;0,262295082;0;8;8;0;0;1;1,180327869;0,262295082;0;8;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000248;1;1800022393;148;4,918032787;0,885245902;0,196721311;0;6;6;0;0;1;0,885245902;0,196721311;0;6;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000247;3;1800022390;200;8,196721311;1,475409836;0,327868852;0;10;10;0;0;1;1,475409836;0,327868852;0;10;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000247;2;1800022390;265;6,557377049;1,180327869;0,262295082;0;8;8;0;0;1;1,180327869;0,262295082;0;8;NULL;NULL;NULL;NULL;NULL;NULL
T00014000000247;1;1800022390;179;16,39344262;2,950819672;0,655737705;0;20;20;0;0;1;2,950819672;0,655737705;0;20;NULL;NULL;NULL;NULL;NULL;NULL
