tDocumento;tCorrelativo;tTurno;tTipoPago;tOtroTipoPago;tMoneda;nTipoCambio;nMonto;nPropina;tTarjeta;tReferencia;tBanco;tNumero;tFechaVencimiento;tUsuario;fRegistro;nDolar;lReplica;fDiaContable;tNumeroATarjeta;tForma;tCodigoIntegracion
T00014000000159;1;1700000052;1;NULL;1;3,24;2,8;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;27/08/2017 18:47;NULL;NULL;27/08/2017 0:00;NULL;NULL;NULL
T00014000000158;2;1700000052;2;NULL;1;3,24;14;0;1;;NULL;4019;;RCASTILLO;27/08/2017 18:31;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000158;1;1700000052;1;NULL;1;3,24;14;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;27/08/2017 18:31;NULL;NULL;27/08/2017 0:00;NULL;NULL;NULL
T00014000000157;1;1700000052;1;NULL;1;3,24;38;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;27/08/2017 18:29;NULL;NULL;27/08/2017 0:00;NULL;NULL;NULL
T00014000000156;1;1700000052;2;NULL;1;3,24;40;0;1;;NULL;1025;;RCASTILLO;27/08/2017 18:27;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000154;1;1700000052;2;NULL;1;3,24;54;0;1;;NULL;3199;;RCASTILLO;27/08/2017 18:20;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000153;2;1700000052;2;NULL;1;3,24;42,5;0;1;;NULL;605;;RCASTILLO;27/08/2017 18:17;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000153;1;1700000052;2;NULL;1;3,24;42,5;0;1;;NULL;1117;;RCASTILLO;27/08/2017 18:17;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000152;1;1700000052;2;NULL;1;3,24;25;0;1;;NULL;1468;;RCASTILLO;27/08/2017 18:11;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000151;1;1700000052;2;NULL;1;3,24;16;0;1;;NULL;386;;RCASTILLO;27/08/2017 18:10;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000150;1;1700000052;1;NULL;1;3,24;16;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;27/08/2017 18:09;NULL;NULL;27/08/2017 0:00;NULL;NULL;NULL
T00014000000149;1;1700000052;1;NULL;1;3,24;31;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;27/08/2017 18:07;NULL;NULL;27/08/2017 0:00;NULL;NULL;NULL
T00014000000148;2;1700000052;2;NULL;1;3,24;10;0;1;;NULL;6110;;RCASTILLO;27/08/2017 18:05;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000148;1;1700000052;1;NULL;1;3,24;20;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;27/08/2017 18:05;NULL;NULL;27/08/2017 0:00;NULL;NULL;NULL
T00014000000147;1;1700000052;2;NULL;1;3,24;23;0;1;;NULL;4492;;RCASTILLO;27/08/2017 18:03;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000146;1;1700000052;2;NULL;1;3,24;36;0;1;;NULL;1468;;RCASTILLO;27/08/2017 18:03;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000145;2;1700000052;2;NULL;1;3,24;20;0;1;;NULL;6028;;RCASTILLO;27/08/2017 17:56;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000145;1;1700000052;2;NULL;1;3,24;17;0;1;;NULL;438;;RCASTILLO;27/08/2017 17:56;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000144;1;1700000052;1;NULL;1;3,24;21;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;27/08/2017 17:52;NULL;NULL;27/08/2017 0:00;NULL;NULL;NULL
T00014000000143;1;1700000052;2;NULL;1;3,24;40;0;1;;NULL;4012;;RCASTILLO;27/08/2017 17:45;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000142;1;1700000052;2;NULL;1;3,24;53;0;1;;NULL;45;;RCASTILLO;27/08/2017 17:44;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000141;1;1700000052;2;NULL;1;3,24;49;0;1;;NULL;3409;;RCASTILLO;27/08/2017 17:41;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000140;1;1700000052;1;NULL;1;3,24;5;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;27/08/2017 17:28;NULL;NULL;27/08/2017 0:00;NULL;NULL;NULL
T00014000000139;1;1700000052;1;NULL;1;3,24;28;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;27/08/2017 17:23;NULL;NULL;27/08/2017 0:00;NULL;NULL;NULL
T00014000000138;2;1700000052;2;NULL;1;3,24;30;0;1;;NULL;9318;;RCASTILLO;27/08/2017 17:09;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000138;1;1700000052;2;NULL;1;3,24;17;0;1;;NULL;2917;;RCASTILLO;27/08/2017 17:09;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000137;1;1700000052;1;NULL;1;3,24;79;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;27/08/2017 17:07;NULL;NULL;27/08/2017 0:00;NULL;NULL;NULL
T00014000000136;1;1700000052;2;NULL;1;3,24;17;0;1;;NULL;6269;;RCASTILLO;27/08/2017 17:02;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000135;1;1700000052;2;NULL;1;3,24;47;0;1;;NULL;6014;;RCASTILLO;27/08/2017 17:01;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000134;1;1700000052;2;NULL;1;3,24;48;0;1;;NULL;700;;RCASTILLO;27/08/2017 17:00;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000133;1;1700000052;2;NULL;1;3,24;24;0;1;;NULL;7126;;RCASTILLO;27/08/2017 16:59;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000132;1;1700000052;2;NULL;1;3,24;12;0;1;;NULL;7126;;RCASTILLO;27/08/2017 16:59;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000131;2;1700000052;2;NULL;1;3,24;20;0;1;;NULL;7267;;RCASTILLO;27/08/2017 16:50;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000131;1;1700000052;1;NULL;1;3,24;20;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;27/08/2017 16:50;NULL;NULL;27/08/2017 0:00;NULL;NULL;NULL
T00014000000129;1;1700000052;1;NULL;1;3,24;8;NULL;NULL;NULL;NULL;NULL;NULL;RCASTILLO;27/08/2017 16:46;NULL;NULL;27/08/2017 0:00;NULL;NULL;NULL
T00014000000128;1;1700000052;2;NULL;1;3,24;21;0;1;;NULL;6811;;RCASTILLO;27/08/2017 16:42;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000126;1;1700000052;2;NULL;1;3,24;65;0;1;;NULL;9435;;RCASTILLO;27/08/2017 16:41;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000125;1;1700000052;2;NULL;1;3,24;122;0;1;;NULL;3389;;RCASTILLO;27/08/2017 16:40;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000124;1;1700000052;2;NULL;1;3,24;18;0;1;;NULL;2019;;RCASTILLO;27/08/2017 16:37;NULL;NULL;27/08/2017 0:00;;NULL;NULL
T00014000000123;1;1700000052;2;NULL;1;3,24;33;0;1;;NULL;1024;;RCASTILLO;27/08/2017 16:35;NULL;NULL;27/08/2017 0:00;;NULL;NULL
