tCodigoProducto;tGrupo;tSubGrupo;tTipoProducto;tDetallado;tResumido;tMoneda;lImpuesto1;lImpuesto2;lImpuesto3;lImpuesto4;lImpuesto5;lImpuesto6;lImpuesto7;lImpuesto8;lImpuesto9;lImpuesto10;lImpuesto11;lImpuesto12;lImpuesto13;lImpuesto14;lImpuesto15;tDescargo;nPrecioVenta;nPrecioDelivery;nPrecioLlevar;nPrecioCanal4;nPrecioCanal5;tCortesia;lModificable;tArea;lImprimeArea;lEspecial;lFijo;lActivo;lCombinacion;nCombinacion;nBoton;tIcono;oFoto;tUsuario;fRegistro;tEnlace;tCajaRapida;nBotonRapido;nInsumo;nInsumo2;nInsumo3;nInsumo4;nInsumo5;nGasto;nGasto2;nGasto3;nGasto4;nGasto5;nManoObra;nManoObra2;nManoObra3;nManoObra4;nManoObra5;tBarra;lPropiedad;tInfhotel;lDescuento;lLocal;lDelivery;lLlevar;lCanal4;lCanal5;tBotonPalm;tUnidadNegocio;lReplica;lMultiArea;tAlternativa;lControlInsumoCritico;tCodigoInsumo;nTiempo;lBalanza;lSolicitaAutorizacionEnvio;lDefineAreaProduccion;tCodigoProductoSunat;nPrecioVentaRefer;nCombinacionMinima;lNuevoModificado;tCodigoSKU;lLey1;lActivaHomologacionExterno;SURLIMAGE;lActivaPatioComida;tDescripcionPatio;tStockPlatoCritico;tAplicaExoneracion;tAplicaInafectacion;tNombrePatio;lComboVisible;IntegracionWebApi
467;17;1701;1;Merengado de Chirimoya 6P;Merengado Chirimoya 6P;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;R;55;55;55;55;0;NULL;0;2;1;NULL;NULL;0;0;0;0;NULL;NULL;ADMIN;02/09/2021 8:34;2;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C3001008;0;;1;1;1;1;1;0;NULL;1;1;0;;0;;0;0;0;0;;0;0;1;;0;0;;0;;0;NULL;NULL;NULL;NULL;0
468;4;416;1;Cajita de alfajores x16;Cajita de alfajores x16;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;R;32;32;32;32;32;NULL;0;5;1;NULL;NULL;1;0;0;0;NULL;NULL;ADMIN;03/07/2025 23:05; ;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;V1000090;0;;1;1;1;1;1;1;NULL;1;1;0;;0;;5;0;0;0;;0;0;1;;0;0;https://blobmasac.blob.core.windows.net/img-totem/0000468.jpg;0;;0;0;0;Caja de alfajores bocadito x16;0;1
469;7;701;1;Torito Pucara;Torito Pucara;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;;0,01;0;0,01;0,01;0;NULL;0;2;1;NULL;NULL;0;0;0;0;NULL;NULL;ADMIN;02/09/2021 8:34;;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C999;0;;1;1;0;1;0;0;NULL;1;1;0;;0;;0;0;0;0;;0;0;1;;0;0;;0;;0;NULL;NULL;NULL;NULL;0
470;6;602;2;Sed Killer 250ml;Sed Killer 250ml;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;;0,01;0;0;0;0;NULL;0;3;1;NULL;NULL;0;0;0;0;NULL;NULL;ADMIN;22/08/2021 22:38;;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C3030079;0;;0;1;1;1;1;0;NULL;1;1;0;;0;;0;0;0;0;;0;0;1;;0;0;;0;;0;NULL;NULL;NULL;NULL;0
471;6;602;2;Zanahoria Mecánica 250ml;Zanahoria Mecánica 250ml;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;;0,01;0;0;0;0;NULL;0;3;1;NULL;NULL;0;0;0;0;NULL;NULL;ADMIN;22/08/2021 22:38;;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;V2010171;0;;0;1;1;1;1;0;NULL;1;1;0;;0;;0;0;0;0;;0;0;1;;0;0;;0;;0;NULL;NULL;NULL;NULL;0
472;6;602;2;El Presidente 250ml;EL Presidente 250ml;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;;0,01;0;0;0;0;NULL;0;2;1;NULL;NULL;0;0;0;0;NULL;NULL;ADMIN;22/08/2021 22:38;;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;V2010170;0;;0;1;1;1;1;0;NULL;1;1;0;;0;;0;0;0;0;;0;0;1;;0;0;;0;;0;NULL;NULL;NULL;NULL;0
473;15;1502;1;Desayuno Despertar;Desayuno Despertar;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;;16,9;0;16,9;16,9;0;NULL;0;1;1;NULL;NULL;0;1;2;0;NULL;NULL;ADMIN;10/02/2022 12:21;;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CX;0;;1;0;0;1;1;0;NULL;1;1;0;;0;;5;0;0;0;;0;2;1;;0;0;;0;;0;0;0;Desayuno Despertar;NULL;0
474;15;1502;1;Desayuno Buenos días;Desayuno Buenos días;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;;18,9;0;18,9;18,9;0;NULL;0;1;1;NULL;NULL;0;1;2;0;NULL;NULL;ADMIN;10/02/2022 12:21;;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CX;0;;1;0;0;1;1;0;NULL;1;1;0;;0;;5;0;0;0;;0;2;1;;0;0;;0;;0;0;0;Desayuno Buenos días;NULL;0
475;15;1502;1;Desayuno Balance;Desayuno Balance;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;;17,9;0;17,9;17,9;0;NULL;0;1;1;NULL;NULL;0;1;2;0;NULL;NULL;ADMIN;10/02/2022 12:21;;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CX;0;;1;0;0;1;1;0;NULL;1;1;0;;0;;5;0;0;0;;0;2;1;;0;0;;0;;0;0;0;Desayuno Balance;NULL;0
476;15;1501;1;Almuerzo Power;Almuerzo Power;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;;21,9;0;21,9;26;0;NULL;0;1;1;NULL;NULL;0;1;2;0;NULL;NULL;ADMIN;10/02/2022 12:21;;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CX;0;;1;0;0;1;1;0;NULL;1;1;0;;0;;0;0;0;0;;0;2;1;;0;0;;0;;0;0;0;Almuerzo Power;NULL;0
477;15;1501;1;Almuerzo Balance Salad;Almuerzo Balance Salad;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;;21,9;0;21,9;28;0;NULL;0;1;1;NULL;NULL;0;1;2;0;NULL;NULL;ADMIN;10/02/2022 12:22;;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CX;0;;1;0;0;1;1;0;NULL;1;1;0;;0;;8;0;0;0;;0;1;1;;0;0;;0;;0;0;0;Almuerzo Balance Salad;NULL;0
