tCodigoPedido;tItem;tItemCombo;tProducto;tProductoCombo;nCantidad;tCodigoGrupo;tCodigoSubGrupo;nPrecioNeto;nImpuesto1;nImpuesto2;nImpuesto3;nVenta;nInsumo;nGasto;nManoObra;lImprimeArea;lImprime;nOrden;tObservacion;lCorte;lAtendidoC;fAtendidoC;tUsuarioAtendio
2500055035;1;2;1898;1969;1;6;609;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500055035;1;1;1898;344;1;14;1412;23,95348837;4,311627907;2,634883721;0;30,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500055032;1;3;2304;2237;1;4;416;27,13178295;4,88372093;2,984496124;0;35;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500055032;1;2;2304;1522;1;17;1706;41,00775194;7,381395349;4,510852713;0;52,9;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500055032;1;1;2304;2264;1;18;1807;9,302325581;1,674418605;1,023255814;0;12;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500055031;1;2;1898;1969;1;6;609;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500055031;1;1;1898;344;1;14;1412;23,95348837;4,311627907;2,634883721;0;30,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500055029;3;2;1898;213;1;6;610;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;ICE;NULL;NULL;NULL;NULL
2500055029;3;1;1898;180;1;14;1412;19,30232558;3,474418605;2,123255814;0;24,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500055026;1;4;1898;1969;1;6;609;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;SH;NULL;NULL;NULL;NULL
2500055026;1;3;1898;1915;1;14;1412;19,30232558;3,474418605;2,123255814;0;24,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500055026;1;2;1898;1969;1;6;609;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500055026;1;1;1898;344;1;14;1412;23,95348837;4,311627907;2,634883721;0;30,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500055025;1;2;1898;344;1;14;1412;23,95348837;4,311627907;2,634883721;0;30,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500055025;1;1;1898;1969;1;6;609;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;EDULC/POCO HIELO;NULL;NULL;NULL;NULL
2500055024;2;2;1898;213;1;6;610;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500055024;2;1;1898;344;1;14;1412;23,95348837;4,311627907;2,634883721;0;30,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500055024;1;2;1898;1521;1;6;610;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500055024;1;1;1898;180;1;14;1412;19,30232558;3,474418605;2,123255814;0;24,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500055021;1;6;1898;1969;1;6;609;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500055021;1;5;1898;1969;1;6;609;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;SIN HIELO;NULL;NULL;NULL;NULL
2500055021;1;4;1898;1969;1;6;609;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;SH;NULL;NULL;NULL;NULL
2500055021;1;3;1898;376;1;14;1410;20,15503876;3,627906977;2,217054264;0;26;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500055021;1;2;1898;344;1;14;1412;23,95348837;4,311627907;2,634883721;0;30,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500055021;1;1;1898;344;1;14;1412;23,95348837;4,311627907;2,634883721;0;30,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500055019;2;2;1898;1969;1;6;609;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;LLEVAR;NULL;NULL;NULL;NULL
2500055019;2;1;1898;344;1;14;1412;23,95348837;4,311627907;2,634883721;0;30,9;0;0;0;1;1;1;LLEVAR;NULL;NULL;NULL;NULL
2500055019;1;2;1898;213;1;6;610;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500055019;1;1;1898;344;1;14;1412;23,95348837;4,311627907;2,634883721;0;30,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500055017;1;2;1898;213;1;6;610;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500055017;1;1;1898;1917;1;14;1412;19,30232558;3,474418605;2,123255814;0;24,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500055014;1;2;2696;2157;1;17;1704;7,674418605;1,381395349;0,844186047;0;9,9;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500055014;1;1;2696;2326;1;14;1407;23,17829457;4,172093023;2,549612403;0;29,9;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500055011;1;2;1898;180;1;14;1412;19,30232558;3,474418605;2,123255814;0;24,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500055011;1;1;1898;213;1;6;610;6,976744186;1,255813953;0,76744186;0;9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500055006;2;2;2695;2157;1;17;1704;7,674418605;1,381395349;0,844186047;0;9,9;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500055006;2;1;2695;2178;1;14;1412;23,17829457;4,172093023;2,549612403;0;29,9;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
2500054991;1;2;1897;208;1;6;610;7,751937984;1,395348837;0,852713178;0;10;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054991;1;1;1897;2299;1;14;1410;17,05426357;3,069767442;1,875968992;0;22;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054990;2;2;1897;208;1;6;610;7,751937984;1,395348837;0,852713178;0;10;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054990;2;1;1897;245;1;14;1410;13,10077519;2,358139535;1,441085271;0;16,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054990;1;2;1897;210;1;6;610;8,527131783;1,534883721;0,937984496;0;11;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054990;1;1;1897;2299;1;14;1410;17,05426357;3,069767442;1,875968992;0;22;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054988;1;2;1897;210;1;6;610;8,527131783;1,534883721;0,937984496;0;11;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054988;1;1;1897;2299;1;14;1410;17,05426357;3,069767442;1,875968992;0;22;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054979;1;2;1897;1731;1;6;610;8,527131783;1,534883721;0,937984496;0;11;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054979;1;1;1897;1966;1;14;1402;13,10077519;2,358139535;1,441085271;0;16,9;0;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL
2500054973;1;3;1573;121;1;17;1708;19,30232558;3,474418605;2,123255814;0;24,9;0;0;0;NULL;1;NULL;;NULL;NULL;NULL;NULL
